ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2025-05-12 19:00:09.767613203+00:00,2025-05-12 19:00:09.767408935+00:00,0,26,33556693,T,N,0,3.17,1,194,0,2507264537,AAPL  250516C00210000
2025-05-12 19:00:10.180571601+00:00,2025-05-12 19:00:10.180367330+00:00,0,35,33556693,T,N,0,3.14,2,194,0,2507354736,AAPL  250516C00210000
2025-05-12 19:00:12.331735587+00:00,2025-05-12 19:00:12.331531422+00:00,0,26,33556693,T,N,0,3.15,1,194,0,2507627328,AAPL  250516C00210000
2025-05-12 19:00:12.331735587+00:00,2025-05-12 19:00:12.331531422+00:00,0,26,33556693,T,N,0,3.15,1,194,0,2507627329,AAPL  250516C00210000
2025-05-12 19:00:13.314014120+00:00,2025-05-12 19:00:13.313811653+00:00,0,28,33556693,T,N,0,3.18,2,194,0,2507793363,AAPL  250516C00210000
2025-05-12 19:00:14.307010951+00:00,2025-05-12 19:00:14.306808270+00:00,0,24,33556693,T,N,0,3.1,1,194,0,2507925768,AAPL  250516C00210000
2025-05-12 19:00:14.307632430+00:00,2025-05-12 19:00:14.307429740+00:00,0,22,33556693,T,N,0,3.1,1,194,0,2507925839,AAPL  250516C00210000
2025-05-12 19:00:14.313949415+00:00,2025-05-12 19:00:14.313745113+00:00,0,22,33556693,T,N,0,3.1,9,194,0,2507926178,AAPL  250516C00210000
2025-05-12 19:00:14.313949415+00:00,2025-05-12 19:00:14.313745113+00:00,0,22,33556693,T,N,0,3.1,6,194,0,2507926180,AAPL  250516C00210000
2025-05-12 19:00:14.313952424+00:00,2025-05-12 19:00:14.313749792+00:00,0,22,33556693,T,N,0,3.1,4,194,0,2507926181,AAPL  250516C00210000
2025-05-12 19:00:14.313957858+00:00,2025-05-12 19:00:14.313755100+00:00,0,22,33556693,T,N,0,3.1,1,194,0,2507926183,AAPL  250516C00210000
2025-05-12 19:00:16.013994813+00:00,2025-05-12 19:00:16.013792139+00:00,0,22,33556693,T,N,0,3.15,2,194,0,2508071476,AAPL  250516C00210000
2025-05-12 19:00:38.823508051+00:00,2025-05-12 19:00:38.823305314+00:00,0,29,33556693,T,N,0,3.1,2,194,0,2510714510,AAPL  250516C00210000
2025-05-12 19:00:39.400144103+00:00,2025-05-12 19:00:39.399940519+00:00,0,26,33556693,T,N,0,3.1,5,194,0,2510852922,AAPL  250516C00210000
2025-05-12 19:00:39.400278289+00:00,2025-05-12 19:00:39.400075491+00:00,0,37,33556693,T,N,0,3.1,1,194,0,2510853116,AAPL  250516C00210000
2025-05-12 19:00:39.400284702+00:00,2025-05-12 19:00:39.400081131+00:00,0,31,33556693,T,N,0,3.1,1,194,0,2510853122,AAPL  250516C00210000
2025-05-12 19:00:39.400685928+00:00,2025-05-12 19:00:39.400481610+00:00,0,29,33556693,T,N,0,3.1,24,194,0,2510853698,AAPL  250516C00210000
2025-05-12 19:00:39.403686436+00:00,2025-05-12 19:00:39.403483204+00:00,0,21,33556693,T,N,0,3.1,1,194,0,2510858793,AAPL  250516C00210000
2025-05-12 19:00:39.953626648+00:00,2025-05-12 19:00:39.953423992+00:00,0,23,33556693,T,N,0,3.1,20,194,0,2511105868,AAPL  250516C00210000
2025-05-12 19:00:42.786935199+00:00,2025-05-12 19:00:42.786732551+00:00,0,27,33556693,T,N,0,3.11,13,194,0,2511528597,AAPL  250516C00210000
2025-05-12 19:00:42.787792862+00:00,2025-05-12 19:00:42.787589490+00:00,0,21,33556693,T,N,0,3.12,6,194,0,2511528683,AAPL  250516C00210000
2025-05-12 19:00:42.787792862+00:00,2025-05-12 19:00:42.787589490+00:00,0,21,33556693,T,N,0,3.12,5,194,0,2511528684,AAPL  250516C00210000
2025-05-12 19:00:42.787792862+00:00,2025-05-12 19:00:42.787589490+00:00,0,21,33556693,T,N,0,3.12,3,194,0,2511528685,AAPL  250516C00210000
2025-05-12 19:00:42.815016817+00:00,2025-05-12 19:00:42.814814300+00:00,0,23,33556693,T,N,0,3.11,6,194,0,2511530739,AAPL  250516C00210000
2025-05-12 19:00:42.815032111+00:00,2025-05-12 19:00:42.814829420+00:00,0,23,33556693,T,N,0,3.11,4,194,0,2511530740,AAPL  250516C00210000
